state	tMRCA(1971)	tMRCA(Abia_human)	tMRCA(akwa)	tMRCA(minus_root)	tMRCA(Cameroon)
0	53.69600891947681	8.910153508746816	13.96942132591181	56.25202491506482	33.07981899277482
1	55.07027516753209	8.823198217602084	13.504795880313083	58.09436443958708	36.94406319939708
2	55.323224739824695	9.053496408614706	13.639867672371707	59.68080321064869	37.7562579123387
3	57.17227775321501	10.63938933228502	16.930043654296014	59.82526086142602	37.691021153926016
4	55.1808177229278	8.471739342097806	18.965447003625798	56.1936805183048	40.48598783592479
5	54.140450159546674	8.116033113376659	20.21489356995346	58.096291824826665	39.28204560496667
6	55.438414766639255	10.032925133239246	19.835453711916244	57.076815274277266	42.11048870126726
7	54.948224938275786	9.130683642365796	18.155077426697773	58.253429355888784	44.35135185519877
8	55.60024401097672	9.751547722396737	22.12383508011024	60.235202000461726	40.456996265691714
9	55.497015722296766	9.313092094716751	19.352523208299743	57.93618924268176	38.680710235001754
10	56.62046851827992	10.127099689069922	20.498167232924914	57.69173725165592	37.47187885126593
11	54.65541040562593	9.705889516065923	21.138459548900926	56.481483313473916	36.35384548064391
12	54.384652195945336	9.243125734595338	20.537508732513828	56.83562852280633	36.50858132560634
13	56.61890141172927	10.526198873219272	16.86097500555823	58.658112548747255	34.90836657807725
14	55.654013584318335	9.557777934028337	18.012485690153426	58.07999703661733	34.82126639945733
15	56.97842634775208	9.001363776382078	16.6561088843701	58.05630004849408	34.19989405150409
16	54.635243367061264	8.518551470191255	15.013799335211871	54.94189402569387	34.68745452688387
17	54.53195263354306	8.891534539753053	17.540910244814995	55.13750632076497	38.27531597704498
18	54.03053222779417	9.498435776214166	15.991977252371157	56.15192618687618	36.58529213410617
19	53.41368835619363	9.679076823103628	18.311256227349332	56.09215052287263	35.566053869212624
20	57.01117086510081	10.045680407140821	16.5364138912027	57.7755875028227	36.10488169563271
21	55.395774082181475	8.985897289881478	15.690142638540493	57.585679834135476	38.24554009659548
22	56.681459356453345	10.155296638723343	16.299924519150323	58.085095574120345	38.98227188033033
23	54.29744979389676	9.919933495386772	13.34469412648275	57.49771351142576	38.32986230181575
